Gene Name	Gene Start (bp)	Gene End (bp)
AT1G20270	7020664	7023162
AT1G20280	7023682	7024439
AT1G20290	7025548	7029698
AT1G20370	7051577	7053745
AT1G20380	7061442	7065242
AT1G20400	7072192	7076619
AT1G20405	7077116	7077606
AT1G20410	7078804	7082566
AT1G20430	7083012	7083910
AT1G20460	7090941	7093442
AT1G20470	7094260	7094869
AT1G20490	7097211	7099892
AT1G20500	7100502	7102915
AT1G20520	7106922	7107617
AT1G20530	7108203	7110634
AT1G20540	7112611	7115362
AT1G20550	7115241	7118331
AT1G20570	7121853	7126559
AT1G20580	7128867	7130799
AT1G20590	7131166	7132465
AT1G20600	7133111	7134454
AT1G20630	7146636	7150180
AT1G20640	7154410	7158287
AT1G20670	7164082	7168041
AT1G20650	7157826	7160590
AT1G20680	7169309	7170856
AT1G20683	7172515	7172835
AT1G20687	7173009	7173340
AT1G20690	7174438	7176377
AT1G20696	7179273	7181574
AT1G20720	7185288	7192841
AT1G20730	7194172	7195609
AT1G20735	7197491	7198681
AT1G20740	7200332	7201737
AT1G20750	7203302	7209013
AT1G20760	7209298	7214993
AT1G20790	7220880	7222432
AT1G20795	7226310	7227566
AT1G20800	7228718	7230240
AT1G20823	7238693	7239698
AT1G20870	7259023	7261524
AT1G20875	7261481	7261681
AT1G20880	7262009	7265555
AT1G20910	7276943	7281236
AT1G20920	7285042	7289943
AT2G04280	1480068	1482089
AT1G20923	7289730	7290390
AT1G20925	7289973	7292580
AT2G04300	1493009	1497016
AT1G20950	7297239	7301633
AT1G20970	7313901	7319921
AT1G20990	7330256	7332100
AT1G21060	7371657	7374114
AT1G21065	7374115	7375789
AT1G21070	7375869	7378227
AT1G21080	7378538	7382661
AT1G21090	7384560	7386580
AT1G21140	7404328	7405426
AT1G21150	7406218	7407870
AT1G21160	7407931	7413295
AT1G21200	7421148	7423673
AT1G21245	7436842	7437342
AT1G21280	7447490	7448483
AT1G21313	7453735	7454256
AT1G21320	7462327	7466164
AT1G21323	7466694	7467359
AT1G21326	7468765	7469995
AT1G21340	7476022	7476899
AT1G21350	7476902	7479258
AT1G21370	7483781	7485666
AT1G21380	7485636	7488780
AT1G21395	7491965	7492351
AT1G21400	7493213	7496741
AT1G21410	7496998	7499616
AT1G21440	7502082	7504275
AT1G21470	7516009	7517637
AT1G21475	7523972	7524721
AT1G21480	7518946	7521552
AT1G21500	7529705	7531108
AT1G21520	7534019	7534927
AT1G21528	7542615	7543077
AT1G21540	7548450	7550741
AT1G21550	7552987	7553975
AT1G21560	7554671	7557112
AT1G21580	7557140	7565914
AT1G21590	7566229	7570014
AT1G21610	7573830	7578963
AT1G21630	7581008	7588153
AT1G21651	7600805	7604215
AT1G21660	7605620	7609223
AT1G21670	7610241	7612721
AT1G21680	7612834	7615374
AT1G21695	7618862	7619919
AT1G21730	7630107	7636658
AT1G21738	7640992	7641225
AT1G21740	7640906	7645240
AT1G21770	7651646	7652288
AT1G21780	7651882	7654014
AT1G21790	7654088	7655981
AT1G21810	7656319	7659167
AT1G21830	7660947	7662725
AT1G21835	7665664	7665936
AT1G21864	7675502	7675971
AT1G21866	7677499	7677959
AT1G21920	7704173	7706254
AT1G21925	7710423	7710725
AT1G21930	7712819	7714459
AT1G22015	7750994	7753519
AT1G21990	7740530	7742106
AT1G22010	7749571	7750062
AT1G22030	7759077	7760929
AT1G22040	7767924	7770216
AT1G22060	7773063	7781539
AT1G22065	7785708	7786477
AT1G22080	7792192	7795440
AT1G22100	7798023	7800228
AT1G22110	7800507	7804061
AT1G22120	7806309	7809632
AT1G22140	7814663	7815722
AT1G22160	7823066	7823971
AT1G22170	7826268	7828326
AT1G22180	7828326	7830424
AT1G22190	7835781	7837411
AT1G22200	7837563	7840898
AT1G22230	7849776	7851164
AT1G22275	7867067	7872715
AT1G22270	7865435	7866176
AT1G22290	7876640	7877962
AT1G22330	7886323	7889534
AT1G22410	7911843	7915004
AT1G22420	7916076	7917518
AT1G22430	7919077	7921893
AT1G22440	7922276	7925097
AT1G22460	7927287	7930657
AT1G22470	7932777	7933604
AT1G22480	7933973	7935382
AT1G22490	7938195	7940805
AT1G22510	7950818	7952832
AT1G22530	7955445	7958564
AT1G22520	7952974	7954546
AT1G22540	7963813	7966436
AT1G22550	7966500	7968692
AT1G22570	7976424	7978810
AT1G22600	7987141	7989217
AT1G22610	7994262	7997588
AT1G22630	8003223	8004304
AT1G22660	8017281	8021930
AT1G22670	8021835	8023516
AT1G22690	8027126	8028168
AT1G22700	8028158	8030136
AT1G22720	8044232	8045665
AT1G22730	8046073	8049039
AT1G22750	8050770	8052930
AT1G22790	8069377	8071593
AT1G22800	8071789	8074357
AT1G22810	8074231	8075037
AT1G22830	8075996	8079137
AT1G22850	8080482	8082882
AT1G22860	8083184	8089273
AT1G22870	8089267	8094505
AT1G22882	8098392	8101464
AT1G22885	8101424	8102500
AT1G22890	8102728	8103588
AT1G22910	8104993	8108361
AT1G22930	8117286	8122151
AT1G22950	8125023	8127286
AT1G22960	8127442	8130456
AT1G22970	8130598	8132435
AT1G22980	8132396	8134388
AT1G23000	8143227	8145174
AT1G23030	8156504	8159185
AT1G23037	8162414	8163149
AT1G23040	8164782	8166716
AT1G23050	8168443	8169267
AT1G23070	8173823	8175819
AT1G23100	8195776	8196475
AT1G23110	8196447	8198331
AT1G23120	8198586	8199616
AT1G23130	8200321	8201246
AT1G23140	8202146	8203301
AT1G23160	8209226	8211486
AT1G23170	8212556	8215807
AT1G23180	8215721	8219641
AT1G23190	8219808	8224547
AT1G23200	8227133	8229661
AT1G23201	8230047	8230978
AT1G23205	8233953	8235019
AT1G23220	8242369	8244403
AT1G23230	8244418	8251937
AT1G23240	8252702	8254637
AT1G23250	8255127	8256770
AT1G23280	8260608	8262795
AT1G23300	8262939	8266048
AT1G23330	8279554	8282421
AT1G23340	8283644	8286969
AT1G23350	8293020	8294264
AT1G23400	8311984	8315876
AT1G23390	8308965	8310916
AT1G23410	8314853	8315737
AT1G23440	8321611	8324497
AT1G23450	8324698	8326697
AT1G23460	8326747	8329782
AT1G23465	8329924	8331104
AT1G23500	8339668	8341072
AT1G23490	8336593	8338827
AT1G23510	8341388	8342796
AT1G23520	8343424	8344839
AT1G23530	8345595	8346733
AT1G23560	8352615	8354619
AT1G23570	8354806	8356507
AT1G23580	8357446	8358805
AT1G23590	8359125	8360645
AT1G23610	8362864	8363675
AT1G23640	8366941	8368381
AT1G23650	8371020	8371106
AT1G23670	8373239	8375897
AT1G23680	8376687	8377156
AT1G23690	8377262	8378769
AT1G23700	8378972	8382290
AT1G23710	8385188	8386522
AT1G23720	8388297	8391623
AT1G23770	8405214	8406266
AT1G23790	8409945	8412079
AT1G23810	8417495	8418566
AT1G23830	8422960	8424088
AT1G23840	8424142	8425385
AT1G23850	8425724	8427235
AT1G23880	8435657	8438811
AT1G23890	8438766	8440866
AT1G23910	8451068	8451289
AT1G23915	8457659	8458946
AT1G23935	8461757	8469573
AT2G44970	18548813	18552171
AT1G23950	8469533	8471417
AT2G44920	18524311	18526827
AT2G44930	18529488	18531752
AT2G44980	18552173	18556674
AT2G44990	18558885	18561621
AT2G45010	18567852	18569859
AT2G45030	18572191	18576970
AT2G45060	18584291	18586873
AT2G45100	18595178	18598481
AT2G45220	18644061	18646606
AT2G45270	18666409	18669873
AT2G45290	18672497	18676484
AT2G45300	18677311	18681889
AT2G45320	18684116	18686197
AT2G45340	18691664	18694725
AT2G45380	18699428	18703093
AT2G45460	18736803	18741916
AT2G45500	18749352	18752866
AT2G45540	18757489	18772906
AT2G45620	18792864	18795904
AT2G45670	18814660	18818545
AT2G45700	18826937	18830664
AT2G45720	18833086	18836374
AT2G45730	18836264	18839273
AT2G45750	18842516	18845576
AT2G45810	18859472	18862970
AT2G45840	18869153	18871786
AT2G45850	18871479	18873972
AT2G45870	18875736	18877679
AT2G45910	18894030	18898528
AT2G45920	18898629	18901326
AT2G45990	18919316	18921511
AT2G46040	18935236	18938447
AT2G46060	18941099	18945112
AT2G46160	18962743	18964689
AT2G46170	18965068	18967271
AT2G46200	18974367	18979061
AT2G46250	18991171	18993371
AT2G46290	19005771	19007952
AT2G46308	19011167	19011355
AT2G46320	19015808	19018491
AT2G46380	19039024	19042348
AT2G46420	19053470	19057162
AT2G46470	19072277	19075124
AT2G46520	19096413	19100373
AT2G46550	19111961	19114227
AT2G46560	19115322	19125856
AT2G46567	19126641	19126751
AT2G46620	19138769	19140849
AT2G46630	19145218	19147147
AT2G46640	19148662	19151080
AT2G46700	19182653	19186812
AT2G46780	19229070	19231539
AT2G46810	19239694	19242772
AT2G46850	19251066	19253484
AT2G46900	19269558	19272263
AT2G46915	19273899	19277773
AT2G46920	19277884	19281811
AT2G46930	19283456	19286400
AT2G47010	19317126	19319397
AT2G47020	19319685	19322507
AT2G47070	19336653	19340869
AT2G47090	19341225	19344343
AT2G47210	19377719	19382436
AT2G47250	19399648	19403044
AT2G47310	19423589	19427277
AT2G47330	19428897	19431821
AT2G47350	19433725	19437544
AT2G47390	19441992	19446365
AT2G47410	19448139	19457303
AT2G47440	19469571	19472006
AT2G47470	19481254	19484015
AT2G47500	19492867	19498189
AT2G47550	19508929	19511792
AT2G47610	19529743	19531677
AT2G47630	19534473	19537074
AT2G47680	19545656	19551171
AT2G47720	19556624	19557139
AT2G47790	19570964	19573027
AT2G47820	19587137	19590822
AT2G47830	19590816	19594014
AT2G47850	19595529	19598664
AT2G47885	19605181	19605423
AT2G47890	19607996	19610287
AT2G47940	19617986	19622301
AT2G47960	19625459	19629183
AT2G47970	19629217	19631188
AT2G48000	19638812	19641022
AT2G48010	19641351	19643899
AT2G48030	19647523	19650313
AT2G48080	19664990	19667192
AT2G48100	19670378	19673292
AT2G48130	19682456	19686056
AT2G48160	19689324	19696821
AT3G01010	4342	4818
AT3G01015	1609	4159
AT3G01040	8723	12697
AT3G01060	16631	18909
AT3G01085	27926	31114
AT3G01130	44045	45809
AT3G01140	46330	48296
AT3G01150	51496	54544
AT3G01160	54524	57541
AT3G01175	59423	62291
AT3G01180	62245	66111
AT3G01185	66151	66980
AT3G01230	76631	77411
AT3G01250	79297	80173
AT3G01260	80003	82182
AT3G01270	82581	84901
AT3G01290	87684	89593
AT3G01300	90396	93588
AT3G01310	93995	102010
AT3G01319	106296	106436
AT3G01322	114260	114604
AT3G01323	121057	121503
AT3G01324	122118	122480
AT3G01325	123369	123741
AT3G01327	116226	116568
AT3G01330	124319	126876
AT3G01329	118849	119178
AT3G01331	119546	120010
AT3G01340	127303	128994
AT3G01350	134925	137460
AT3G01360	136399	138799
AT3G01380	143880	149880
AT3G01410	153343	155657
AT3G01415	156148	156937
AT3G01430	165392	166542
AT3G01450	169597	172045
AT3G01475	183289	183900
AT3G01490	190831	193721
AT3G01510	198322	201810
AT3G01513	201887	202754
AT3G01516	205314	208220
AT3G01520	208250	210161
AT3G01560	219582	221989
AT3G01570	221939	222827
AT3G01572	222968	223081
AT3G01580	223332	225682
AT3G01590	225855	228628
AT3G01620	235197	236968
AT3G01630	237119	239113
AT3G01660	245416	246854
AT3G01690	256295	258696
AT3G01710	259639	261883
AT3G01720	262142	265962
AT3G01730	266557	267100
AT3G01750	270221	272976
AT3G01760	273248	275304
AT3G01740	267727	269620
AT3G01790	283179	285840
AT3G01800	285871	287950
AT3G01810	288158	292770
AT3G01820	293754	295724
AT3G01830	296024	299263
AT3G01850	299784	302397
AT3G01860	302472	304598
AT3G01870	305131	307226
AT3G01880	307782	309560
AT3G01890	310007	312073
AT3G01920	317336	319121
AT3G01930	319061	321690
AT3G01940	322460	323282
AT3G01950	323934	324478
AT3G01961	325181	325351
AT3G01980	327455	329387
AT3G01990	330099	333132
AT3G02010	337906	340442
AT3G02030	344908	348847
AT3G02060	354360	358833
AT3G02065	358916	360889
AT3G02070	360921	363775
AT3G02090	365537	368911
AT3G02080	363881	365376
AT3G02100	368840	370484
AT3G02120	377025	377713
AT3G02160	394044	396343
AT3G02170	396012	399960
AT3G02190	405756	406487
AT3G02200	406340	409200
AT3G02242	420107	420936
AT3G02245	421772	422732
AT3G02250	423791	427095
AT3G02255	426787	426972
AT3G02270	448977	451007
AT3G02280	453329	457869
AT3G02290	458156	461063
AT3G02300	461072	464223
AT3G02320	469867	473717
AT3G02330	473774	476662
AT3G02340	477003	478886
AT3G02360	481776	484152
AT3G02370	484256	487839
AT3G02380	487069	489467
AT3G02390	488780	489474
AT3G02400	489670	491927
AT3G02420	495884	498964
AT3G02430	499266	500174
AT3G02450	502644	505248
AT3G02460	505434	508723
AT3G02480	512220	513036
AT3G02490	513478	515925
AT3G02500	519211	521793
AT3G02510	521746	524675
AT3G02530	528526	532612
AT3G02555	539611	541523
AT3G02560	541708	543385
AT3G02590	549175	550682
AT3G02600	550975	554697
AT3G02610	555626	557723
AT3G02630	562030	564870
AT3G02640	564884	565801
AT3G02650	568012	570103
AT3G02670	573780	574702
AT3G02673	573850	574198
AT3G02690	579586	581611
AT3G02700	581541	582949
AT3G02710	583113	585948
AT3G02740	590425	593228
AT3G02750	593207	596562
AT3G02760	597105	600783
AT3G02770	600849	602399
AT3G02790	604785	605496
AT3G02810	608437	611139
AT3G02820	611490	613522
AT3G02840	618398	619686
AT3G02860	625163	627491
AT3G02880	634465	637284
AT3G02890	640169	645692
AT3G02900	645710	647684
AT3G02910	649814	650921
AT3G02930	654779	658637
AT3G02975	669175	669526
AT3G03010	678182	680605
AT3G03020	680944	681999
AT3G03030	682054	684083
AT3G03040	684389	686639
AT3G03060	691934	695675
AT3G03070	696242	698164
AT3G03080	698325	700332
AT3G03100	705381	707697
AT3G03110	708698	717093
AT3G03130	721291	723784
AT3G03140	723878	727531
AT3G03150	727516	729638
AT3G03160	729766	730752
AT3G03170	731862	732914
AT3G03180	733253	734662
AT3G03210	740704	742309
AT3G03240	746655	748631
AT3G03250	749309	754161
AT3G03270	761004	763369
AT3G03272	763657	764437
AT3G03280	765420	766387
AT3G03300	767880	776214
AT3G03310	778568	781703
AT3G03305	775368	778396
AT3G03320	781715	783464
AT3G03330	783332	786209
AT3G03341	790130	790693
AT3G03350	791183	794812
AT3G03360	794906	797013
AT3G03370	797254	799148
AT3G03400	808745	809158
AT3G03405	809875	810795
AT3G03410	811324	811719
AT3G03430	814181	814888
AT3G03440	815550	818876
AT3G03510	836039	837707
AT3G03560	852889	856643
AT3G03570	856876	860469
AT3G03580	860512	863428
AT3G03610	868741	871837
AT3G03620	873749	876800
AT3G03640	880988	884157
AT3G03680	907384	910928
AT3G03700	916435	918490
AT3G03726	933341	934464
AT3G03730	935139	936320
AT3G03770	945077	949238
AT3G03773	951628	954055
AT3G03776	954021	955371
AT3G03790	961750	968152
AT3G03826	978265	978570
AT3G03828	979379	979900
AT3G03870	995062	997410
AT3G03890	999350	1002595
AT3G03910	1006780	1009018
AT3G03930	1011310	1012810
AT3G03940	1013929	1019418
AT3G03960	1024144	1027891
AT3G03970	1027866	1030677
AT3G03980	1031660	1033237
AT3G04010	1036194	1039603
AT3G04020	1040331	1042547
AT3G04040	1047640	1049444
AT3G04050	1049653	1051608
AT3G04080	1067558	1071438
AT3G04140	1086516	1089416
AT3G04150	1089417	1090468
AT3G04160	1091089	1094348
AT3G04170	1094621	1095665
AT3G04180	1097475	1098422
AT3G04181	1098825	1099529
AT3G04184	1100085	1100246
AT3G04210	1105650	1108252
AT3G04220	1108725	1112437
AT3G04230	1112871	1113859
AT3G04250	1121950	1122828
AT3G04270	1127681	1128125
AT3G04300	1140129	1141060
AT3G04310	1141043	1142652
AT3G04330	1145723	1146516
AT3G04350	1153723	1156876
AT3G04390	1165375	1165765
AT3G04410	1168837	1169205
AT3G04440	1178505	1180943
AT3G04443	1178508	1181205
AT3G04450	1181706	1186444
AT3G04470	1189595	1192659
AT3G04480	1193540	1197421
AT3G04490	1200331	1209970
AT3G04500	1211762	1213907
AT3G04520	1217174	1219847
AT3G04540	1223251	1223789
AT3G04545	1224909	1225397
AT3G04560	1227360	1229763
AT3G04590	1238853	1241804
AT3G04600	1242929	1246211
AT3G04650	1261857	1264687
AT3G04660	1264724	1265966
AT3G04700	1276668	1277824
AT3G04750	1300879	1303389
AT3G04760	1303419	1305950
AT3G04780	1310998	1313090
AT3G04820	1321228	1326005
AT3G04830	1326121	1329364
AT3G04840	1329571	1331642
AT3G04850	1331898	1336076
AT3G04854	1336905	1337620
AT3G04855	1337786	1338113
AT3G04890	1347559	1350122
AT3G04900	1349248	1349964
AT3G04903	1350510	1350989
AT3G04930	1362497	1364799
AT3G04950	1371636	1373524
AT3G04960	1373688	1375989
AT3G04970	1376154	1378500
AT3G04980	1378495	1383060
AT3G04990	1383953	1384679
AT3G05035	1398717	1399887
AT3G05050	1408557	1412194
AT3G05060	1412867	1416056
AT3G05080	1417907	1418280
AT3G05100	1424057	1426563
AT3G05130	1433128	1435526
AT3G05150	1440014	1443730
AT3G05155	1448196	1452215
AT3G05160	1453072	1457295
AT3G05165	1457381	1462963
AT3G05170	1466483	1468400
AT3G05180	1468398	1470624
AT3G05190	1471083	1475832
AT3G05220	1488329	1491772
AT3G05230	1492084	1495397
AT3G05250	1495572	1497523
AT3G05260	1497483	1499096
AT3G05270	1500368	1503481
AT3G05280	1503689	1505721
AT3G05300	1508024	1508611
AT3G05320	1513062	1515568
AT3G05327	1517409	1518599
AT3G05340	1523463	1526166
AT3G05350	1526963	1533909
AT3G05365	1534283	1535422
AT3G05390	1546443	1548679
AT3G05400	1549446	1554219
AT3G05410	1554673	1561535
AT3G05425	1567474	1567605
AT3G05430	1567624	1571218
AT3G05440	1572718	1573266
AT3G05450	1573909	1576418
AT3G05470	1579419	1583073
AT3G05500	1593182	1595099
AT3G05510	1595196	1598344
AT3G05540	1606487	1608030
AT3G05545	1609050	1612607
AT3G05550	1612690	1614027
AT3G05570	1616102	1617339
AT3G05610	1625528	1628175
AT3G05620	1629488	1631818
AT3G05625	1632213	1634205
AT3G05640	1640350	1643253
AT3G05670	1653264	1657222
AT3G05675	1657758	1660429
AT3G05685	1673015	1674908
AT3G05700	1681817	1684597
AT3G05727	1693548	1694140
AT3G05760	1707797	1710038
AT3G05730	1695156	1696708
AT3G05741	1701378	1702180
AT3G05746	1703250	1703611
AT3G05770	1710013	1712225
AT3G05775	1714041	1714822
AT3G05790	1719958	1725268
AT3G05810	1730966	1732656
AT3G05830	1736307	1738749
AT3G05858	1749342	1749970
AT3G05860	1751385	1752407
AT3G05900	1761205	1763984
AT3G05910	1764253	1767843
AT3G05920	1768779	1769806
AT3G05935	1770911	1773461
AT3G05936	1773812	1774594
AT3G05937	1775766	1776840
AT3G05940	1777213	1780254
AT3G05975	1792010	1792745
AT3G05990	1796839	1800082
AT3G06000	1801446	1802081
AT3G06019	1813114	1813224
AT3G06035	1822904	1824309
AT3G06040	1824317	1825740
AT3G06070	1830970	1832190
AT3G06085	1837623	1838159
AT3G06090	1840714	1841012
AT3G06130	1852808	1855197
AT3G06145	1859822	1860797
AT3G06150	1861759	1864566
AT3G06160	1864273	1867415
AT3G06170	1867415	1869963
AT3G06180	1871558	1874044
AT3G06200	1877514	1879379
AT3G06210	1879985	1883491
AT3G06250	1888834	1892830
AT3G06270	1895858	1898061
AT3G06280	1898155	1898751
AT3G06310	1912805	1914442
AT3G06320	1914506	1915375
AT3G06330	1917131	1919984
AT3G06340	1920137	1923738
AT3G06370	1929946	1934073
AT3G06390	1938335	1939853
AT3G06410	1947012	1949916
AT3G06435	1968288	1970946
AT3G06436	1970340	1970996
AT3G06440	1972622	1975760
AT3G06450	1975915	1980110
AT3G06455	1980542	1982162
AT3G06480	1985338	1990245
AT3G06520	2019849	2022102
AT3G06530	2022433	2033912
AT3G06545	2038312	2038977
AT3G06590	2052693	2055666
AT3G06600	2055623	2060585
AT3G06610	2060615	2062153
AT3G06620	2062131	2067417
AT3G06630	2069369	2074087
AT3G06640	2074185	2078613
AT3G06660	2102316	2104908
AT3G06670	2105399	2113698
AT3G06680	2114151	2114948
AT3G06690	2115426	2116825
AT3G06700	2117127	2118074
AT3G06710	2118169	2120181
AT3G06750	2129551	2130451
AT3G06760	2132758	2134665
AT3G06770	2134773	2137641
AT3G06778	2140026	2141547
AT3G06830	2153864	2156299
AT3G06840	2156736	2157916
AT3G06868	2167730	2169222
AT3G06870	2167847	2168960
AT3G06880	2169768	2175771
AT3G06890	2176788	2177616
AT3G06895	2178129	2178291
AT3G06920	2181346	2185126
AT3G06950	2192685	2194321
AT3G06970	2199632	2201150
AT3G06980	2201432	2205171
AT3G06990	2206387	2208058
AT3G07000	2209405	2211515
AT3G07010	2212289	2216483
AT3G07030	2222526	2225522
AT3G07070	2237897	2240266
AT3G07080	2241002	2243124
AT3G07110	2251946	2253597
AT3G07120	2254479	2255742
AT3G07140	2261104	2264064
AT3G07150	2263806	2264721
AT3G07170	2280194	2282339
AT3G07180	2282233	2285549
AT3G07190	2285777	2287592
AT3G07200	2290652	2292660
AT3G07210	2292753	2295680
AT3G07250	2303075	2306615
AT3G07255	2307082	2308456
AT3G07260	2309609	2310983
AT3G07270	2313998	2317364
AT3G07273	2317616	2317926
AT3G07290	2321546	2324568
AT3G07300	2324603	2327659
AT3G07310	2327818	2329926
AT3G07320	2332004	2334185
AT3G07340	2340845	2343697
AT3G07350	2347186	2348791
AT3G07380	2360988	2362824
AT3G07400	2367222	2372445
AT3G07425	2378219	2378805
AT3G07440	2381188	2383369
AT3G07450	2383442	2383937
AT3G07470	2386611	2388696
AT3G07480	2388703	2389823
AT3G07510	2393686	2394694
AT3G07522	2398746	2398874
AT3G07530	2400534	2404499
AT3G07540	2404493	2407634
AT3G07550	2409477	2411329
AT3G07565	2413623	2416284
AT3G07568	2416243	2417822
AT3G07570	2418049	2420331
AT3G07580	2420838	2422825
AT3G07610	2425884	2433113
AT3G07590	2423051	2424594
AT3G07600	2424117	2425022
AT3G07620	2433222	2435015
AT3G07650	2441565	2444532
AT3G07640	2438015	2439938
AT3G07660	2444688	2450659
AT3G07670	2451564	2455100
AT3G07690	2457027	2459552
AT3G07700	2459491	2463965
AT3G07710	2464336	2464773
AT3G07720	2465235	2467270
AT3G07730	2467862	2469801
AT3G07750	2473194	2475575
AT3G07760	2476306	2478715
AT3G07790	2487313	2489386
AT3G07810	2492260	2495959
AT2G06500	2580718	2583223
AT2G06541	2598222	2600326
AT2G06570	2622603	2624902
AT2G06667	2660527	2660715
AT2G06675	2705042	2705476
AT2G06845	2753443	2756008
AT2G06960	2867672	2870352
AT2G07020	2908473	2911198
AT2G07140	2957516	2959851
AT2G07170	2975025	2979266
AT2G07180	2980820	2983657
AT2G07240	3007102	3012333
AT2G07280	3026398	3029353
AT2G07360	3047252	3057214
AT2G07599	3348796	3351212
AT2G07617	3262523	3262587
AT2G07625	3284067	3284616
AT2G07632	3323573	3323990
AT2G07642	3400797	3400838
AT2G07644	3405496	3405863
AT2G07656	3458281	3461448
AT2G07661	3484182	3484585
AT2G07667	3364296	3366661
AT2G07676	3272619	3272975
AT3G07850	2505546	2507558
AT2G07691	3339740	3340317
AT2G07698	3361463	3364127
AT2G07705	3380744	3380944
AT2G07706	3381463	3386102
AT2G07707	3386292	3386768
AT2G07713	3407218	3407586
AT2G07715	3410597	3413161
AT2G07718	3424685	3430483
AT2G07722	3438742	3439161
AT2G07727	3449534	3452776
AT2G07728	3453686	3456127
AT2G07749	3247003	3249357
AT2G07750	3576465	3580525
AT2G07751	3270008	3270364
AT2G07768	3273584	3274154
AT2G07777	3249396	3251545
AT2G07798	3357619	3361102
AT2G07800	3589410	3590008
AT2G07806	3484627	3489670
AT2G07815	3443688	3446183
AT2G07830	3476156	3476278
AT2G07981	3614986	3617716
AT2G08986	3618058	3626460
AT2G09838	3703304	3703492
AT2G10020	3797230	3797430
AT2G10260	3938527	3941240
AT2G10440	4013752	4018046
AT2G10557	4106183	4106356
AT2G10625	4295362	4300871
AT2G10920	4301708	4302134
AT2G10950	4314243	4317882
AT2G10955	4323589	4324032
AT2G11010	4361869	4365919
AT2G11035	4416920	4419072
AT2G11205	4458154	4458399
AT2G11225	4478424	4483467
AT2G11620	4658445	4660777
AT2G11773	4724036	4724143
AT2G11778	4728072	4728239
AT2G11851	4785961	4790030
AT2G11891	4804391	4804558
AT2G11910	4805480	4807441
AT2G12205	4901120	4901343
AT2G12400	5004884	5008442
AT2G12461	5049953	5050087
AT2G12646	5166984	5169303
AT2G12875	5289411	5291470
AT2G12905	5296364	5296582
AT2G13125	5415891	5416317
AT2G13290	5511562	5513838
AT3G07860	2507880	2509589
AT2G13422	5588218	5588322
AT2G13440	5592838	5598412
AT2G13463	5609569	5610324
AT3G07870	2510570	2512479
AT3G07890	2516271	2519545
AT2G13690	5706472	5709017
AT2G13840	5788445	5791128
AT2G13900	5833039	5835209
AT2G14045	5906420	5908429
AT2G14060	5914414	5916436
AT2G14080	5925119	5929902
AT2G14255	6036804	6041097
AT2G14289	6056913	6057020
AT2G14378	6104752	6105252
AT2G14440	6143073	6147419
AT2G14510	6170942	6175095
AT2G14520	6181946	6184910
AT2G14530	6187371	6190380
AT2G14680	6277802	6283940
AT2G14690	6283801	6286055
AT2G14695	6289477	6292620
AT2G14700	6292466	6295726
AT2G14835	6366879	6371126
AT2G14846	6382368	6382810
AT2G14860	6387581	6389668
AT2G14910	6406389	6409167
AT2G15020	6491425	6493512
AT2G15025	6501126	6501704
AT2G15110	6554847	6557168
AT2G15240	6615456	6619074
AT2G15260	6630528	6634008
AT2G15280	6639973	6642353
AT2G15300	6649115	6652232
AT2G15340	6677225	6677928
AT2G15420	6723948	6728183
AT2G15560	6787866	6790215
AT2G15630	6814453	6816568
AT2G15690	6830995	6833777
AT2G15695	6833880	6836538
AT2G15710	6842648	6845103
AT2G15730	6849452	6852214
AT2G15790	6877774	6880898
AT2G15860	6905379	6909498
AT2G15880	6917514	6920319
AT2G15900	6927024	6932791
AT2G15910	6932406	6935514
AT2G16016	6971075	6971330
AT2G16019	6973172	6973282
AT2G16050	6980218	6982132
AT2G16210	7026761	7029175
AT2G16225	7033940	7034317
AT2G16230	7035378	7038395
AT2G16250	7039682	7043354
AT2G16270	7045538	7048544
AT2G16280	7050799	7052951
AT2G16340	7073134	7073484
AT2G16365	7074119	7079519
AT2G16370	7081763	7084865
AT2G16380	7085698	7089248
AT2G16405	7105339	7109089
AT2G16460	7133387	7135812
AT3G07900	2520701	2523115
AT2G16490	7146000	7147981
AT2G16510	7158991	7160934
AT2G16530	7162931	7165410
AT2G16580	7184422	7187009
AT2G16594	7197774	7198082
AT2G16595	7198127	7200385
AT2G16630	7209108	7211134
AT2G16660	7218654	7221890
AT2G16650	7215591	7218558
AT2G16710	7248138	7250308
AT2G16730	7261783	7266346
AT2G16750	7271012	7274754
AT2G16860	7303812	7306675
AT2G16870	7307970	7311796
AT2G16880	7312051	7314576
AT2G16890	7316789	7319243
AT2G16900	7323570	7326317
AT2G16940	7342607	7347464
AT2G16950	7353773	7361256
AT2G16960	7364683	7368963
AT2G16980	7376199	7381165
AT2G16990	7382805	7387976
AT2G17000	7388893	7392302
AT2G17010	7392762	7395985
AT2G17020	7396281	7398885
AT2G17030	7399056	7400970
AT2G17033	7401117	7403661
AT2G17050	7410704	7415802
AT2G17060	7422336	7427119
AT2G17110	7442707	7446099
AT2G17140	7462809	7466898
AT2G17190	7477845	7481690
AT3G07930	2526513	2528639
AT2G17210	7485398	7487608
AT2G17280	7513128	7515117
AT2G17270	7510097	7512502
AT2G17290	7516330	7519662
AT2G17320	7533455	7536004
AT2G17340	7541313	7544383
AT2G17360	7546440	7548406
AT2G17410	7558916	7563781
AT2G17442	7573812	7575951
AT2G17500	7606728	7609278
AT2G17510	7609236	7616342
AT2G17525	7623826	7626186
AT2G17530	7626325	7629149
AT3G07940	2528997	2531573
