chr	source	type	start	end	score	strand	phase	attributes	Gene	te_dist
Chr2	TAIR10	gene	10976936	10979900	.	+	.	ID=AT2G25737;Note=protein_coding_gene;Name=AT2G25737	AT2G25737	16056
Chr2	TAIR10	gene	10980122	10983945	.	+	.	ID=AT2G25740;Note=protein_coding_gene;Name=AT2G25740	AT2G25740	12011
Chr2	TAIR10	gene	10984808	10988924	.	-	.	ID=AT2G25760;Note=protein_coding_gene;Name=AT2G25760	AT2G25760	7032
Chr2	TAIR10	gene	10992808	10993652	.	+	.	ID=AT2G25770;Note=protein_coding_gene;Name=AT2G25770	AT2G25770	2304
Chr2	TAIR10	gene	10995141	10996024	.	+	.	ID=AT2G25780;Note=protein_coding_gene;Name=AT2G25780	AT2G25780	0
Chr2	TAIR10	gene	11000599	11004235	.	+	.	ID=AT2G25790;Note=protein_coding_gene;Name=AT2G25790	AT2G25790	3227
Chr2	TAIR10	gene	11005924	11009739	.	-	.	ID=AT2G25800;Note=protein_coding_gene;Name=AT2G25800	AT2G25800	334
Chr2	TAIR10	gene	11012506	11014170	.	+	.	ID=AT2G25810;Note=protein_coding_gene;Name=AT2G25810	AT2G25810	423
Chr2	TAIR10	gene	11014890	11015800	.	+	.	ID=AT2G25820;Note=protein_coding_gene;Name=AT2G25820	AT2G25820	198
Chr2	TAIR10	gene	11018716	11021699	.	-	.	ID=AT2G25830;Note=protein_coding_gene;Name=AT2G25830	AT2G25830	4024
Chr2	TAIR10	gene	11021848	11025370	.	+	.	ID=AT2G25840;Note=protein_coding_gene;Name=AT2G25840	AT2G25840	7156
Chr2	TAIR10	gene	11025420	11030776	.	-	.	ID=AT2G25850;Note=protein_coding_gene;Name=AT2G25850	AT2G25850	9618
Chr2	TAIR10	gene	11031115	11034454	.	+	.	ID=AT2G25870;Note=protein_coding_gene;Name=AT2G25870	AT2G25870	5940
Chr2	TAIR10	gene	11034652	11036910	.	-	.	ID=AT2G25880;Note=protein_coding_gene;Name=AT2G25880	AT2G25880	3484
Chr2	TAIR10	gene	11037380	11038126	.	+	.	ID=AT2G25890;Note=protein_coding_gene;Name=AT2G25890	AT2G25890	2268
Chr2	TAIR10	gene	11041331	11043209	.	+	.	ID=AT2G25900;Note=protein_coding_gene;Name=AT2G25900	AT2G25900	0
Chr2	TAIR10	gene	11049055	11052066	.	-	.	ID=AT2G25910;Note=protein_coding_gene;Name=AT2G25910	AT2G25910	185
Chr2	TAIR10	gene	11054291	11056042	.	-	.	ID=AT2G25920;Note=protein_coding_gene;Name=AT2G25920	AT2G25920	0
Chr2	TAIR10	gene	11059035	11063324	.	+	.	ID=AT2G25930;Note=protein_coding_gene;Name=AT2G25930	AT2G25930	1778
Chr2	TAIR10	gene	11063301	11066028	.	-	.	ID=AT2G25940;Note=protein_coding_gene;Name=AT2G25940	AT2G25940	218
Chr2	TAIR10	gene	11068644	11070661	.	+	.	ID=AT2G25950;Note=protein_coding_gene;Name=AT2G25950	AT2G25950	1792
Chr2	TAIR10	gene	11070639	11071287	.	-	.	ID=AT2G25964;Note=protein_coding_gene;Name=AT2G25964	AT2G25964	3787
Chr2	TAIR10	gene	11071651	11075669	.	-	.	ID=AT2G25970;Note=protein_coding_gene;Name=AT2G25970	AT2G25970	867
Chr2	TAIR10	gene	11077488	11079918	.	-	.	ID=AT2G25980;Note=protein_coding_gene;Name=AT2G25980	AT2G25980	0
Chr2	TAIR10	gene	11080586	11080706	.	+	.	ID=AT2G25990;Note=protein_coding_gene;Name=AT2G25990	AT2G25990	121
Chr2	TAIR10	gene	11081302	11085350	.	+	.	ID=AT2G26000;Note=protein_coding_gene;Name=AT2G26000	AT2G26000	0
Chr2	TAIR10	gene	11087348	11087944	.	+	.	ID=AT2G26010;Note=protein_coding_gene;Name=AT2G26010	AT2G26010	5385
Chr2	TAIR10	gene	11089250	11089597	.	+	.	ID=AT2G26020;Note=protein_coding_gene;Name=AT2G26020	AT2G26020	3732
Chr2	TAIR10	gene	11091334	11093168	.	-	.	ID=AT2G26030;Note=protein_coding_gene;Name=AT2G26030	AT2G26030	161
Chr2	TAIR10	gene	11094832	11095404	.	-	.	ID=AT2G26040;Note=protein_coding_gene;Name=AT2G26040	AT2G26040	177
Chr2	TAIR10	gene	11098652	11099380	.	-	.	ID=AT2G26050;Note=protein_coding_gene;Name=AT2G26050	AT2G26050	3
Chr2	TAIR10	gene	11102301	11105355	.	+	.	ID=AT2G26060;Note=protein_coding_gene;Name=AT2G26060	AT2G26060	88
Chr2	TAIR10	gene	11105672	11107188	.	-	.	ID=AT2G26070;Note=protein_coding_gene;Name=AT2G26070	AT2G26070	3459
Chr2	TAIR10	gene	11109003	11113828	.	-	.	ID=AT2G26080;Note=protein_coding_gene;Name=AT2G26080	AT2G26080	0
Chr2	TAIR10	gene	11115679	11115759	.	-	.	ID=AT2G26090;Note=tRNA;Name=AT2G26090	AT2G26090	404
Chr2	TAIR10	gene	11115905	11118208	.	-	.	ID=AT2G26100;Note=protein_coding_gene;Name=AT2G26100	AT2G26100	630
Chr2	TAIR10	gene	11120869	11122059	.	+	.	ID=AT2G26110;Note=protein_coding_gene;Name=AT2G26110	AT2G26110	249
Chr2	TAIR10	gene	11123430	11123817	.	+	.	ID=AT2G26120;Note=protein_coding_gene;Name=AT2G26120	AT2G26120	2
Chr2	TAIR10	gene	11127134	11128476	.	+	.	ID=AT2G26130;Note=protein_coding_gene;Name=AT2G26130	AT2G26130	842
Chr2	TAIR10	gene	11130119	11131514	.	+	.	ID=AT2G26135;Note=protein_coding_gene;Name=AT2G26135	AT2G26135	208
Chr2	TAIR10	gene	11131578	11135345	.	-	.	ID=AT2G26140;Note=protein_coding_gene;Name=AT2G26140	AT2G26140	1667
Chr2	TAIR10	gene	11135682	11137396	.	+	.	ID=AT2G26150;Note=protein_coding_gene;Name=AT2G26150	AT2G26150	3812
Chr2	TAIR10	gene	11137978	11139451	.	-	.	ID=AT2G26160;Note=protein_coding_gene;Name=AT2G26160	AT2G26160	1757
Chr2	TAIR10	gene	11140809	11143360	.	+	.	ID=AT2G26170;Note=protein_coding_gene;Name=AT2G26170	AT2G26170	0
Chr2	TAIR10	gene	11143290	11145103	.	-	.	ID=AT2G26180;Note=protein_coding_gene;Name=AT2G26180	AT2G26180	1700
Chr2	TAIR10	gene	11147639	11150510	.	-	.	ID=AT2G26190;Note=protein_coding_gene;Name=AT2G26190	AT2G26190	6049
Chr2	TAIR10	gene	11152726	11156466	.	+	.	ID=AT2G26200;Note=protein_coding_gene;Name=AT2G26200	AT2G26200	4585
Chr2	TAIR10	gene	11157118	11159292	.	+	.	ID=AT2G26210;Note=protein_coding_gene;Name=AT2G26210	AT2G26210	1759
Chr2	TAIR10	gene	11159702	11159803	.	+	.	ID=AT2G26211;Note=miRNA;Name=AT2G26211	AT2G26211	1248
Chr2	TAIR10	gene	11164575	11167195	.	+	.	ID=AT2G26230;Note=protein_coding_gene;Name=AT2G26230	AT2G26230	0
Chr2	TAIR10	gene	11167257	11168473	.	-	.	ID=AT2G26240;Note=protein_coding_gene;Name=AT2G26240	AT2G26240	309
Chr2	TAIR10	gene	11170418	11173142	.	-	.	ID=AT2G26250;Note=protein_coding_gene;Name=AT2G26250	AT2G26250	459
Chr2	TAIR10	gene	11178100	11182976	.	+	.	ID=AT2G26260;Note=protein_coding_gene;Name=AT2G26260	AT2G26260	408
Chr2	TAIR10	gene	11184213	11184419	.	+	.	ID=AT2G26267;Note=protein_coding_gene;Name=AT2G26267	AT2G26267	639
Chr2	TAIR10	gene	11184739	11187775	.	+	.	ID=AT2G26270;Note=protein_coding_gene;Name=AT2G26270	AT2G26270	1165
Chr2	TAIR10	gene	11187733	11191337	.	-	.	ID=AT2G26280;Note=protein_coding_gene;Name=AT2G26280	AT2G26280	74
Chr2	TAIR10	gene	11192137	11194259	.	-	.	ID=AT2G26290;Note=protein_coding_gene;Name=AT2G26290	AT2G26290	370
Chr2	TAIR10	gene	11196996	11201102	.	+	.	ID=AT2G26300;Note=protein_coding_gene;Name=AT2G26300	AT2G26300	3210
Chr2	TAIR10	gene	11201303	11204153	.	+	.	ID=AT2G26310;Note=protein_coding_gene;Name=AT2G26310	AT2G26310	159
Chr2	TAIR10	gene	11205389	11206287	.	-	.	ID=AT2G26320;Note=protein_coding_gene;Name=AT2G26320	AT2G26320	0
Chr2	TAIR10	gene	11208183	11213971	.	-	.	ID=AT2G26330;Note=protein_coding_gene;Name=AT2G26330	AT2G26330	602
Chr2	TAIR10	gene	11215252	11217033	.	+	.	ID=AT2G26340;Note=protein_coding_gene;Name=AT2G26340	AT2G26340	0
Chr2	TAIR10	gene	11217439	11220507	.	-	.	ID=AT2G26350;Note=protein_coding_gene;Name=AT2G26350	AT2G26350	40
Chr2	TAIR10	gene	11220708	11221535	.	+	.	ID=AT2G26355;Note=other_RNA;Name=AT2G26355	AT2G26355	3309
Chr2	TAIR10	gene	11221516	11223213	.	-	.	ID=AT2G26360;Note=protein_coding_gene;Name=AT2G26360	AT2G26360	4117
Chr2	TAIR10	gene	11224565	11226214	.	+	.	ID=AT2G26370;Note=protein_coding_gene;Name=AT2G26370	AT2G26370	4621
Chr2	TAIR10	gene	11226615	11228057	.	-	.	ID=AT2G26380;Note=protein_coding_gene;Name=AT2G26380	AT2G26380	2778
Chr2	TAIR10	gene	11229087	11230491	.	-	.	ID=AT2G26390;Note=protein_coding_gene;Name=AT2G26390	AT2G26390	344
Chr2	TAIR10	gene	11231800	11233295	.	-	.	ID=AT2G26400;Note=protein_coding_gene;Name=AT2G26400	AT2G26400	216
Chr2	TAIR10	gene	11234651	11236936	.	-	.	ID=AT2G26410;Note=protein_coding_gene;Name=AT2G26410	AT2G26410	507
Chr2	TAIR10	gene	11239434	11242239	.	-	.	ID=AT2G26420;Note=protein_coding_gene;Name=AT2G26420	AT2G26420	1656
Chr2	TAIR10	gene	11243219	11246035	.	-	.	ID=AT2G26430;Note=protein_coding_gene;Name=AT2G26430	AT2G26430	5441
Chr2	TAIR10	gene	11247383	11249493	.	+	.	ID=AT2G26440;Note=protein_coding_gene;Name=AT2G26440	AT2G26440	9605
Chr2	TAIR10	gene	11251120	11253612	.	+	.	ID=AT2G26450;Note=protein_coding_gene;Name=AT2G26450	AT2G26450	12433
Chr2	TAIR10	gene	11254932	11258973	.	-	.	ID=AT2G26460;Note=protein_coding_gene;Name=AT2G26460	AT2G26460	7072
Chr2	TAIR10	gene	11259153	11262494	.	-	.	ID=AT2G26470;Note=protein_coding_gene;Name=AT2G26470	AT2G26470	3551
Chr2	TAIR10	gene	11263963	11265684	.	+	.	ID=AT2G26480;Note=protein_coding_gene;Name=AT2G26480	AT2G26480	361
Chr2	TAIR10	gene	11267942	11269623	.	+	.	ID=AT2G26490;Note=protein_coding_gene;Name=AT2G26490	AT2G26490	0
Chr2	TAIR10	gene	11270089	11270953	.	+	.	ID=AT2G26500;Note=protein_coding_gene;Name=AT2G26500	AT2G26500	30
Chr2	TAIR10	gene	11273911	11277630	.	+	.	ID=AT2G26510;Note=protein_coding_gene;Name=AT2G26510	AT2G26510	3852
Chr2	TAIR10	gene	11277789	11277890	.	+	.	ID=AT2G26511;Note=protein_coding_gene;Name=AT2G26511	AT2G26511	3661
Chr2	TAIR10	gene	11280025	11280940	.	+	.	ID=AT2G26520;Note=protein_coding_gene;Name=AT2G26520	AT2G26520	611
Chr2	TAIR10	gene	11282775	11284229	.	-	.	ID=AT2G26530;Note=protein_coding_gene;Name=AT2G26530	AT2G26530	44
Chr2	TAIR10	gene	11287365	11290360	.	-	.	ID=AT2G26540;Note=protein_coding_gene;Name=AT2G26540	AT2G26540	0
Chr2	TAIR10	gene	11291218	11293445	.	-	.	ID=AT2G26550;Note=protein_coding_gene;Name=AT2G26550	AT2G26550	3638
Chr2	TAIR10	gene	11293769	11295806	.	-	.	ID=AT2G26560;Note=protein_coding_gene;Name=AT2G26560	AT2G26560	6189
Chr2	TAIR10	gene	11299144	11302191	.	+	.	ID=AT2G26570;Note=protein_coding_gene;Name=AT2G26570	AT2G26570	0
Chr2	TAIR10	gene	11303590	11306953	.	-	.	ID=AT2G26580;Note=protein_coding_gene;Name=AT2G26580	AT2G26580	0
Chr2	TAIR10	gene	11311004	11315096	.	-	.	ID=AT2G26590;Note=protein_coding_gene;Name=AT2G26590	AT2G26590	127
Chr2	TAIR10	gene	11316412	11318483	.	+	.	ID=AT2G26600;Note=protein_coding_gene;Name=AT2G26600	AT2G26600	1078
Chr2	TAIR10	gene	11318771	11324174	.	+	.	ID=AT2G26610;Note=protein_coding_gene;Name=AT2G26610	AT2G26610	3437
Chr2	TAIR10	gene	11325163	11326835	.	-	.	ID=AT2G26620;Note=protein_coding_gene;Name=AT2G26620	AT2G26620	1110
Chr2	TAIR10	gene	11329870	11331858	.	+	.	ID=AT2G26640;Note=protein_coding_gene;Name=AT2G26640	AT2G26640	1070
Chr2	TAIR10	gene	11331850	11336607	.	-	.	ID=AT2G26650;Note=protein_coding_gene;Name=AT2G26650	AT2G26650	964
Chr2	TAIR10	gene	11338932	11340950	.	+	.	ID=AT2G26660;Note=protein_coding_gene;Name=AT2G26660	AT2G26660	1128
Chr2	TAIR10	gene	11341684	11343572	.	+	.	ID=AT2G26670;Note=protein_coding_gene;Name=AT2G26670	AT2G26670	1900
Chr2	TAIR10	gene	11343801	11345402	.	-	.	ID=AT2G26680;Note=protein_coding_gene;Name=AT2G26680	AT2G26680	70
Chr2	TAIR10	gene	11347147	11350993	.	-	.	ID=AT2G26690;Note=protein_coding_gene;Name=AT2G26690	AT2G26690	562
Chr2	TAIR10	gene	11350719	11351293	.	+	.	ID=AT2G26692;Note=other_RNA;Name=AT2G26692	AT2G26692	4134
Chr2	TAIR10	gene	11365098	11365965	.	+	.	ID=AT2G26695;Note=protein_coding_gene;Name=AT2G26695	AT2G26695	569
Chr2	TAIR10	gene	11368596	11371099	.	+	.	ID=AT2G26700;Note=protein_coding_gene;Name=AT2G26700	AT2G26700	593
Chr2	TAIR10	gene	11380492	11383612	.	+	.	ID=AT2G26710;Note=protein_coding_gene;Name=AT2G26710	AT2G26710	177
Chr2	TAIR10	gene	11384782	11385402	.	+	.	ID=AT2G26720;Note=protein_coding_gene;Name=AT2G26720	AT2G26720	827
Chr2	TAIR10	gene	11388407	11391641	.	+	.	ID=AT2G26730;Note=protein_coding_gene;Name=AT2G26730	AT2G26730	916
Chr2	TAIR10	gene	11392965	11394279	.	-	.	ID=AT2G26740;Note=protein_coding_gene;Name=AT2G26740	AT2G26740	210
Chr2	TAIR10	gene	11395896	11397092	.	-	.	ID=AT2G26750;Note=protein_coding_gene;Name=AT2G26750	AT2G26750	0
Chr2	TAIR10	gene	11401329	11403427	.	+	.	ID=AT2G26760;Note=protein_coding_gene;Name=AT2G26760	AT2G26760	1125
Chr2	TAIR10	gene	11404066	11408326	.	-	.	ID=AT2G26770;Note=protein_coding_gene;Name=AT2G26770	AT2G26770	3862
Chr2	TAIR10	gene	11410076	11423776	.	+	.	ID=AT2G26780;Note=protein_coding_gene;Name=AT2G26780	AT2G26780	4724
Chr2	TAIR10	gene	11425270	11427669	.	-	.	ID=AT2G26790;Note=protein_coding_gene;Name=AT2G26790	AT2G26790	831
Chr2	TAIR10	gene	11429022	11432732	.	-	.	ID=AT2G26800;Note=protein_coding_gene;Name=AT2G26800	AT2G26800	365
Chr2	TAIR10	gene	11433733	11436277	.	-	.	ID=AT2G26810;Note=protein_coding_gene;Name=AT2G26810	AT2G26810	16
Chr2	TAIR10	gene	11437808	11442199	.	+	.	ID=AT2G26820;Note=protein_coding_gene;Name=AT2G26820	AT2G26820	0
Chr2	TAIR10	gene	11443561	11447171	.	+	.	ID=AT2G26830;Note=protein_coding_gene;Name=AT2G26830	AT2G26830	4091
Chr2	TAIR10	gene	11447197	11448949	.	-	.	ID=AT2G26840;Note=protein_coding_gene;Name=AT2G26840	AT2G26840	5034
Chr2	TAIR10	gene	11449269	11451239	.	-	.	ID=AT2G26850;Note=protein_coding_gene;Name=AT2G26850	AT2G26850	2744
Chr2	TAIR10	gene	11451973	11453843	.	-	.	ID=AT2G26860;Note=protein_coding_gene;Name=AT2G26860	AT2G26860	140
Chr2	TAIR10	gene	11455613	11455849	.	-	.	ID=AT2G26865;Note=protein_coding_gene;Name=AT2G26865	AT2G26865	1540
Chr2	TAIR10	gene	11457008	11459365	.	-	.	ID=AT2G26870;Note=protein_coding_gene;Name=AT2G26870	AT2G26870	1966
Chr2	TAIR10	gene	11459906	11461099	.	-	.	ID=AT2G26880;Note=protein_coding_gene;Name=AT2G26880	AT2G26880	232
Chr2	TAIR10	gene	11460219	11461021	.	+	.	ID=AT2G26882;Note=other_RNA;Name=AT2G26882	AT2G26882	310
Chr2	TAIR10	gene	11462067	11474325	.	-	.	ID=AT2G26890;Note=protein_coding_gene;Name=AT2G26890	AT2G26890	535
Chr2	TAIR10	gene	11474952	11477944	.	-	.	ID=AT2G26900;Note=protein_coding_gene;Name=AT2G26900	AT2G26900	342
Chr2	TAIR10	gene	11481623	11488186	.	+	.	ID=AT2G26910;Note=protein_coding_gene;Name=AT2G26910	AT2G26910	333
Chr2	TAIR10	gene	11489004	11491751	.	+	.	ID=AT2G26920;Note=protein_coding_gene;Name=AT2G26920	AT2G26920	3361
Chr2	TAIR10	gene	11491707	11494266	.	-	.	ID=AT2G26930;Note=protein_coding_gene;Name=AT2G26930	AT2G26930	846
Chr2	TAIR10	gene	11496518	11497378	.	-	.	ID=AT2G26940;Note=protein_coding_gene;Name=AT2G26940	AT2G26940	1073
Chr2	TAIR10	gene	11500721	11502136	.	-	.	ID=AT2G26950;Note=protein_coding_gene;Name=AT2G26950	AT2G26950	742
Chr2	TAIR10	gene	11506065	11507426	.	-	.	ID=AT2G26960;Note=protein_coding_gene;Name=AT2G26960	AT2G26960	703
Chr2	TAIR10	gene	11509721	11511914	.	-	.	ID=AT2G26970;Note=protein_coding_gene;Name=AT2G26970	AT2G26970	69
Chr2	TAIR10	gene	11512861	11513553	.	+	.	ID=AT2G26975;Note=protein_coding_gene;Name=AT2G26975	AT2G26975	733
Chr2	TAIR10	gene	11514703	11518734	.	-	.	ID=AT2G26980;Note=protein_coding_gene;Name=AT2G26980	AT2G26980	0
Chr2	TAIR10	gene	11519507	11522587	.	-	.	ID=AT2G26990;Note=protein_coding_gene;Name=AT2G26990	AT2G26990	0
Chr2	TAIR10	gene	11523304	11525095	.	-	.	ID=AT2G27000;Note=protein_coding_gene;Name=AT2G27000	AT2G27000	220
Chr2	TAIR10	gene	11526168	11527854	.	-	.	ID=AT2G27010;Note=protein_coding_gene;Name=AT2G27010	AT2G27010	3084
Chr2	TAIR10	gene	11528348	11530976	.	-	.	ID=AT2G27020;Note=protein_coding_gene;Name=AT2G27020	AT2G27020	5264
Chr2	TAIR10	gene	11532004	11534333	.	+	.	ID=AT2G27030;Note=protein_coding_gene;Name=AT2G27030	AT2G27030	8920
Chr2	TAIR10	gene	11535650	11536485	.	+	.	ID=AT2G27035;Note=protein_coding_gene;Name=AT2G27035	AT2G27035	8824
Chr2	TAIR10	gene	11536534	11542357	.	-	.	ID=AT2G27040;Note=protein_coding_gene;Name=AT2G27040	AT2G27040	2952
Chr2	TAIR10	gene	11545753	11548293	.	+	.	ID=AT2G27050;Note=protein_coding_gene;Name=AT2G27050	AT2G27050	310
Chr2	TAIR10	gene	11551041	11554775	.	+	.	ID=AT2G27060;Note=protein_coding_gene;Name=AT2G27060	AT2G27060	334
Chr2	TAIR10	gene	11555781	11560215	.	-	.	ID=AT2G27070;Note=protein_coding_gene;Name=AT2G27070	AT2G27070	0
Chr2	TAIR10	gene	11563933	11567504	.	+	.	ID=AT2G27080;Note=protein_coding_gene;Name=AT2G27080	AT2G27080	0
Chr2	TAIR10	gene	11567436	11571856	.	-	.	ID=AT2G27090;Note=protein_coding_gene;Name=AT2G27090	AT2G27090	1468
Chr2	TAIR10	gene	11572550	11576658	.	+	.	ID=AT2G27100;Note=protein_coding_gene;Name=AT2G27100	AT2G27100	6582
Chr2	TAIR10	gene	11576669	11580794	.	-	.	ID=AT2G27110;Note=protein_coding_gene;Name=AT2G27110	AT2G27110	10701
Chr2	TAIR10	gene	11581223	11594346	.	+	.	ID=AT2G27120;Note=protein_coding_gene;Name=AT2G27120	AT2G27120	2276
Chr2	TAIR10	gene	11595292	11596542	.	+	.	ID=AT2G27130;Note=protein_coding_gene;Name=AT2G27130	AT2G27130	80
Chr2	TAIR10	gene	11598379	11599322	.	-	.	ID=AT2G27140;Note=protein_coding_gene;Name=AT2G27140	AT2G27140	9
Chr2	TAIR10	gene	11600193	11600700	.	-	.	ID=AT2G27145;Note=protein_coding_gene;Name=AT2G27145	AT2G27145	376
Chr2	TAIR10	gene	11601754	11608450	.	+	.	ID=AT2G27150;Note=protein_coding_gene;Name=AT2G27150	AT2G27150	1937
Chr2	TAIR10	gene	11607432	11608416	.	-	.	ID=AT2G27160;Note=protein_coding_gene;Name=AT2G27160	AT2G27160	7615
Chr2	TAIR10	gene	11609122	11617434	.	-	.	ID=AT2G27170;Note=protein_coding_gene;Name=AT2G27170	AT2G27170	6104
Chr2	TAIR10	gene	11620233	11621174	.	+	.	ID=AT2G27180;Note=protein_coding_gene;Name=AT2G27180	AT2G27180	2364
Chr2	TAIR10	gene	11621222	11623618	.	-	.	ID=AT2G27190;Note=protein_coding_gene;Name=AT2G27190	AT2G27190	0
Chr2	TAIR10	gene	11625417	11628189	.	+	.	ID=AT2G27200;Note=protein_coding_gene;Name=AT2G27200	AT2G27200	123
Chr2	TAIR10	gene	11629777	11636795	.	+	.	ID=AT2G27210;Note=protein_coding_gene;Name=AT2G27210	AT2G27210	4483
Chr2	TAIR10	gene	11637164	11639537	.	-	.	ID=AT2G27220;Note=protein_coding_gene;Name=AT2G27220	AT2G27220	1893
Chr2	TAIR10	gene	11650358	11654143	.	+	.	ID=AT2G27228;Note=protein_coding_gene;Name=AT2G27228	AT2G27228	1302
Chr2	TAIR10	gene	11649154	11649998	.	+	.	ID=AT2G27229;Note=protein_coding_gene;Name=AT2G27229	AT2G27229	3776
Chr2	TAIR10	gene	11650358	11654143	.	+	.	ID=AT2G27230;Note=protein_coding_gene;Name=AT2G27230	AT2G27230	1302
Chr2	TAIR10	gene	11659579	11662408	.	+	.	ID=AT2G27240;Note=protein_coding_gene;Name=AT2G27240	AT2G27240	0
Chr2	TAIR10	gene	11664986	11665769	.	-	.	ID=AT2G27250;Note=protein_coding_gene;Name=AT2G27250	AT2G27250	330
Chr2	TAIR10	gene	11669655	11670644	.	+	.	ID=AT2G27260;Note=protein_coding_gene;Name=AT2G27260	AT2G27260	44
Chr2	TAIR10	gene	11672271	11673208	.	+	.	ID=AT2G27270;Note=protein_coding_gene;Name=AT2G27270	AT2G27270	1029
Chr2	TAIR10	gene	11673826	11675613	.	-	.	ID=AT2G27280;Note=protein_coding_gene;Name=AT2G27280	AT2G27280	2584
Chr2	TAIR10	gene	11675960	11678118	.	-	.	ID=AT2G27285;Note=protein_coding_gene;Name=AT2G27285	AT2G27285	4605
Chr2	TAIR10	gene	11678400	11679797	.	-	.	ID=AT2G27290;Note=protein_coding_gene;Name=AT2G27290	AT2G27290	2926
Chr2	TAIR10	gene	11680417	11681955	.	-	.	ID=AT2G27300;Note=protein_coding_gene;Name=AT2G27300	AT2G27300	768
Chr2	TAIR10	gene	11683862	11684967	.	-	.	ID=AT2G27310;Note=protein_coding_gene;Name=AT2G27310	AT2G27310	509
Chr2	TAIR10	gene	11689591	11689953	.	-	.	ID=AT2G27315;Note=protein_coding_gene;Name=AT2G27315	AT2G27315	1418
Chr2	TAIR10	gene	11692884	11694916	.	+	.	ID=AT2G27320;Note=protein_coding_gene;Name=AT2G27320	AT2G27320	1500
Chr2	TAIR10	gene	11695032	11696630	.	-	.	ID=AT2G27330;Note=protein_coding_gene;Name=AT2G27330	AT2G27330	0
Chr2	TAIR10	gene	11696737	11699224	.	+	.	ID=AT2G27340;Note=protein_coding_gene;Name=AT2G27340	AT2G27340	177
Chr2	TAIR10	gene	11699549	11704272	.	-	.	ID=AT2G27350;Note=protein_coding_gene;Name=AT2G27350	AT2G27350	2989
Chr2	TAIR10	gene	11706198	11708065	.	+	.	ID=AT2G27360;Note=protein_coding_gene;Name=AT2G27360	AT2G27360	31
Chr2	TAIR10	gene	11708450	11710004	.	-	.	ID=AT2G27370;Note=protein_coding_gene;Name=AT2G27370	AT2G27370	0
Chr2	TAIR10	gene	11713411	11715696	.	+	.	ID=AT2G27380;Note=protein_coding_gene;Name=AT2G27380	AT2G27380	2046
Chr2	TAIR10	gene	11716001	11717432	.	-	.	ID=AT2G27385;Note=protein_coding_gene;Name=AT2G27385	AT2G27385	4636
Chr2	TAIR10	gene	11720294	11721081	.	+	.	ID=AT2G27389;Note=protein_coding_gene;Name=AT2G27389	AT2G27389	2465
Chr2	TAIR10	gene	11720484	11720888	.	-	.	ID=AT2G27390;Note=protein_coding_gene;Name=AT2G27390	AT2G27390	2658
Chr2	TAIR10	gene	11721539	11722468	.	-	.	ID=AT2G27400;Note=other_RNA;Name=AT2G27400	AT2G27400	1078
Chr2	TAIR10	gene	11723525	11724362	.	+	.	ID=AT2G27402;Note=protein_coding_gene;Name=AT2G27402	AT2G27402	0
Chr2	TAIR10	gene	11724427	11725419	.	-	.	ID=AT2G27410;Note=protein_coding_gene;Name=AT2G27410	AT2G27410	549
Chr2	TAIR10	gene	11726144	11727614	.	-	.	ID=AT2G27420;Note=protein_coding_gene;Name=AT2G27420	AT2G27420	2266
Chr2	TAIR10	gene	11729826	11733210	.	-	.	ID=AT2G27430;Note=protein_coding_gene;Name=AT2G27430	AT2G27430	0
Chr2	TAIR10	gene	11737432	11739690	.	-	.	ID=AT2G27450;Note=protein_coding_gene;Name=AT2G27450	AT2G27450	556
Chr2	TAIR10	gene	11740634	11745011	.	+	.	ID=AT2G27460;Note=protein_coding_gene;Name=AT2G27460	AT2G27460	208
Chr2	TAIR10	gene	11744981	11746411	.	-	.	ID=AT2G27470;Note=protein_coding_gene;Name=AT2G27470	AT2G27470	0
Chr2	TAIR10	gene	11746720	11748051	.	+	.	ID=AT2G27480;Note=protein_coding_gene;Name=AT2G27480	AT2G27480	1092
Chr2	TAIR10	gene	11748015	11750182	.	-	.	ID=AT2G27490;Note=protein_coding_gene;Name=AT2G27490	AT2G27490	0
Chr2	TAIR10	gene	11752170	11754028	.	-	.	ID=AT2G27500;Note=protein_coding_gene;Name=AT2G27500	AT2G27500	1868
Chr2	TAIR10	gene	11756566	11757829	.	+	.	ID=AT2G27505;Note=protein_coding_gene;Name=AT2G27505	AT2G27505	1810
Chr2	TAIR10	gene	11758079	11759476	.	-	.	ID=AT2G27510;Note=protein_coding_gene;Name=AT2G27510	AT2G27510	163
Chr2	TAIR10	gene	11762061	11763104	.	+	.	ID=AT2G27520;Note=protein_coding_gene;Name=AT2G27520	AT2G27520	863
Chr2	TAIR10	gene	11763217	11764845	.	-	.	ID=AT2G27530;Note=protein_coding_gene;Name=AT2G27530	AT2G27530	1354
Chr2	TAIR10	gene	11765323	11766144	.	-	.	ID=AT2G27535;Note=protein_coding_gene;Name=AT2G27535	AT2G27535	55
Chr2	TAIR10	gene	11768951	11769100	.	+	.	ID=AT2G27540;Note=protein_coding_gene;Name=AT2G27540	AT2G27540	379
Chr2	TAIR10	gene	11773251	11774681	.	+	.	ID=AT2G27550;Note=protein_coding_gene;Name=AT2G27550	AT2G27550	192
Chr2	TAIR10	gene	11774852	11774923	.	-	.	ID=AT2G27560;Note=tRNA;Name=AT2G27560	AT2G27560	0
Chr2	TAIR10	gene	11775329	11776305	.	+	.	ID=AT2G27570;Note=protein_coding_gene;Name=AT2G27570	AT2G27570	402
